,artist_names,artists_id,danceability,energy,valence,tempo,loudness,mode,key,acousticness,instrumentalness,liveness,speechiness,explicit,duration_ms,popularity,year,release_date,song_title (censored)
236,Michael Jackson,[467203],0.853,0.981,0.595,118.193,-3.947,1,8,0.247,0.468,0.306,0.0751,0,257760,75,1987,8/31/1987,Smooth Criminal - **** Remaster
262,Al Green,[607448],0.7559999999999999,0.397,0.507,101.985,-10.701,0,7,0.57,0.0115,0.0542,0.0522,0,199396,74,1972,1972,Let's Stay Together
265,Chris Brown,[266063],0.747,0.7040000000000001,0.653,90.041,-6.81,1,0,0.261,0.0,0.11,0.0674,1,141467,74,2019,11/8/2019,G Walk (with Chris ******
285,The Weeknd,[2674162],0.532,0.5770000000000001,0.0397,131.922,-9.313,1,1,0.00253,0.0437,0.234,0.0352,1,222307,74,2020,4/3/2020,Nothing Compares - Bonus Track
306,The Weeknd,[2674162],0.706,0.505,0.388,160.053,-6.922999999999999,1,8,0.142,0.0,0.16399999999999998,0.193,1,218880,73,2016,11/25/2016,Reminder
312,"Earth, Wind & Fire",[135273],0.8690000000000001,0.648,0.9,125.035,-8.698,0,11,0.121,2.17e-05,0.126,0.0633,0,339320,73,1981,11/14/1981,Let's Groove
318,The Weeknd,[2674162],0.6579999999999999,0.591,0.326,114.078,-5.197,1,9,0.00959,5.27e-06,0.325,0.0309,1,323747,73,2012,1/1/2012,Wicked Games
320,Prince,[1426748],0.898,0.271,0.742,111.485,-12.238,1,7,0.0135,0.0013800000000000002,0.0461,0.091,0,226240,73,1986,3/31/1986,Kiss
322,Frank Ocean,[2592086],0.913,0.603,0.4970000000000001,123.061,-4.892,1,8,0.0272,0.000503,0.16699999999999998,0.226,1,234093,73,2012,7/10/2012,Lost
324,Trey Songz,[128143],0.845,0.601,0.329,74.008,-5.283,1,1,0.0205,0.0,0.385,0.161,1,242013,73,2010,9/13/2010,Bottoms Up (feat. Nicki Minaj)
332,Chris Brown,[266063],0.62,0.613,0.483,82.43,-5.83,1,0,0.0607,0.0,0.117,0.0795,1,232733,73,2019,6/28/2019,Heat (feat. Gunna)
338,Mariah Carey,[262255],0.649,0.531,0.488,78.946,-8.335,1,4,0.457,0.0,0.249,0.0363,0,258133,73,1995,9/26/1995,Always Be My Baby
339,Trey Songz,[128143],0.845,0.601,0.329,74.008,-5.283,1,1,0.0205,0.0,0.385,0.161,1,242013,73,2010,9/13/2010,Bottoms Up (feat. Nicki Minaj)
343,Frank Ocean,[2592086],0.444,0.0924,0.219,108.917,-15.605,1,0,0.784,0.0,0.304,0.0366,0,248808,73,2016,8/20/2016,White Ferrari
348,Keri Hilson,[664272],0.731,0.807,0.765,114.759,-6.492000000000001,0,3,0.181,0.7509999999999999,0.319,0.1,0,179120,73,2007,1/1/2007,The Way I Are
371,Whitney Houston,[820434],0.8320000000000001,0.544,0.928,119.49,-12.697,1,6,0.201,0.000139,0.632,0.0442,0,275533,72,1985,2/14/1985,How Will I Know
383,Usher,[303506],0.7809999999999999,0.745,0.326,129.998,-5.81,0,4,0.198,1.14e-05,0.36,0.0332,0,269493,72,2010,3/30/2010,**** (feat. will.i.am)
388,The Weeknd,[2674162],0.555,0.619,0.141,95.032,-7.917999999999998,1,0,0.0323,0.000224,0.0917,0.0314,1,195813,72,2020,3/20/2020,Repeat After Me (Interlude)
391,The Weeknd,[2674162],0.56,0.6779999999999999,0.29,122.585,-6.167000000000002,0,10,0.61,1.42e-05,0.111,0.0581,1,220293,72,2018,3/30/2018,Wasted Times
401,Frank Ocean,[2592086],0.5429999999999999,0.394,0.118,137.811,-9.637,1,8,0.695,0.000239,0.108,0.0864,1,314075,72,2016,8/20/2016,Nikes
416,The Weeknd,[2674162],0.555,0.619,0.141,95.032,-7.917999999999998,1,0,0.0323,0.000224,0.0917,0.0314,1,195813,72,2020,3/20/2020,Repeat After Me (Interlude)
424,Ty Dolla $ign,[2659130],0.443,0.623,0.156,79.365,-6.7170000000000005,0,0,0.0468,0.0,0.247,0.0718,0,233000,72,2018,12/14/2018,Scared of the Dark (feat. *************
429,TLC,[7689],0.77,0.505,0.757,171.798,-7.345,1,1,0.311,7.4e-05,0.0777,0.0828,0,279507,72,1994,11/15/1994,Waterfalls
450,Ty Dolla $ign,[2659130],0.898,0.468,0.171,100.052,-7.5310000000000015,0,4,0.049,0.0,0.107,0.067,1,211319,72,2020,4/20/2020,"Y U Mad (feat. Megan Thee Stallion, Ty Dolla $ign & ********"
458,Frank Ocean,[2592086],0.8190000000000001,0.458,0.232,122.981,-10.223,0,4,0.5820000000000001,0.173,0.128,0.16699999999999998,1,268893,71,2019,10/19/2019,DHL
485,Sam Cooke,[238115],0.691,0.507,0.885,128.518,-10.23,1,11,0.627,0.0,0.457,0.0343,0,125440,71,2000,9/26/2000,(What A) Wonderful World
504,Sister Sledge,[746666],0.784,0.893,0.8190000000000001,118.738,-5.153,0,7,0.3,1.57e-05,0.272,0.0923,0,216733,71,1979,2/15/1979,We Are Family
516,Michael Jackson,[467203],0.888,0.815,0.961,127.273,-4.909,0,11,0.23,0.000424,0.127,0.0404,0,238733,71,1982,11/30/1982,P.Y.T. (Pretty Young Thing)
526,The Weeknd,[2674162],0.664,0.7709999999999999,0.763,109.945,-5.779,1,0,0.0155,9.6e-06,0.46,0.0533,0,265600,71,2016,11/25/2016,Secrets
530,Kool & the Gang,[777210],0.879,0.626,0.968,110.864,-6.3439999999999985,1,7,0.205,6.07e-05,0.056,0.0604,0,212907,71,1999,3/1/1999,Get Down On It
551,T-Pain,[258000],0.545,0.7809999999999999,0.277,150.097,-3.616,1,10,0.0139,0.0,0.161,0.185,1,232507,70,2010,3/2/2010,"All I Do Is Win (feat. T-Pain, Ludacris, Snoop **** & Rick Ross)"
552,Chris Brown,[266063],0.711,0.508,0.665,98.098,-7.298999999999999,1,7,0.0354,0.0,0.141,0.0494,1,217800,70,2014,1/6/2014,Show Me (feat. Chris ******
559,Lloyd,[673752],0.412,0.8759999999999999,0.703,130.159,-6.007999999999999,0,5,0.102,0.0,0.297,0.47,0,273133,70,2007,1/1/2007,You
569,Chris Brown,[266063],0.867,0.6629999999999999,0.481,121.978,-5.837999999999999,0,10,0.443,0.0,0.117,0.17800000000000002,1,219733,70,2018,2/25/2018,Stranger Things
573,Chris Brown,"[266063, 2165952]",0.67,0.6759999999999999,0.349,114.974,-4.725,1,8,0.0201,0.0,0.11,0.037000000000000005,0,265813,70,2011,3/22/2011,Next To You
575,Ralph Tresvant,[330453],0.805,0.858,0.523,97.033,-3.067,1,0,0.194,7.89e-06,0.256,0.105,1,321649,70,2015,2/17/2015,Old Thing Back (feat. Ja Rule and Ralph Tresvant)
582,T-Pain,[258000],0.439,0.8079999999999999,0.487,82.962,-6.881,1,1,0.00305,0.0,0.439,0.34600000000000003,1,207000,70,2007,9/11/2007,Good Life
590,Omarion,"[468938, 266063, 2739175]",0.733,0.6759999999999999,0.701,97.448,-5.655,0,10,0.0697,0.0,0.208,0.0432,1,226581,70,2014,12/2/2014,Post to Be (feat. Chris ***** & Jhene Aiko)
591,The Weeknd,[2674162],0.652,0.5489999999999999,0.18600000000000005,120.073,-7.555,0,6,0.317,0.0,0.104,0.039,1,312427,70,2012,1/1/2012,The Morning
603,Ty Dolla $ign,[2659130],0.75,0.491,0.711,105.008,-8.326,1,11,0.0898,0.0,0.109,0.117,1,187671,70,2016,3/25/2016,Wavy (feat. Joe Moses)
612,Frank Ocean,[2592086],0.762,0.508,0.37,93.51,-9.112,1,3,0.0584,0.00126,0.16,0.0919,1,302347,70,2011,1/1/2011,Novacane
616,T-Pain,[258000],0.439,0.8079999999999999,0.487,82.962,-6.881,1,1,0.00305,0.0,0.439,0.34600000000000003,1,207000,70,2007,9/11/2007,Good Life
639,The Weeknd,[2674162],0.542,0.72,0.623,149.828,-5.136,0,1,0.147,0.0,0.348,0.0628,1,231360,70,2016,11/25/2016,Sidewalks
651,Frank Ocean,"[2592086, 1028077]",0.654,0.7509999999999999,0.568,92.781,-7.507999999999999,0,8,0.246,0.0179,0.16699999999999998,0.105,1,272507,70,2011,8/8/2011,No Church In The Wild
660,Chris Brown,[266063],0.705,0.882,0.7,130.0,-3.201,0,11,0.000369,1.16e-06,0.0934,0.0445,1,241667,69,2011,3/22/2011,Yeah 3x
663,Trey Songz,[128143],0.619,0.7190000000000001,0.35100000000000003,86.036,-4.1110000000000015,1,0,0.0227,0.0,0.0839,0.157,1,194576,69,2020,4/29/2020,Back Home (feat. Summer Walker)
664,TLC,[7689],0.607,0.784,0.482,81.00399999999998,-6.292999999999998,1,7,0.433,0.0,0.6890000000000001,0.268,1,278573,69,2013,6/14/2013,Crooked Smile (feat. TLC)
666,Michael Jackson,[467203],0.831,0.921,0.794,108.002,-2.383,0,5,0.153,0.00213,0.305,0.0581,0,239227,69,1991,11/13/1991,Remember the Time
668,Mariah Carey,[262255],0.5760000000000001,0.526,0.147,122.06,-8.524,1,6,0.32299999999999995,2.01e-06,0.0548,0.0325,0,213667,69,1993,8/4/1993,Without You
671,The Supremes,[477875],0.595,0.643,0.73,135.63299999999998,-9.275,1,5,0.76,0.0,0.5379999999999999,0.0365,0,158040,69,1964,8/31/1964,Baby Love
686,The Drifters,[118544],0.747,0.226,0.778,123.789,-13.635,1,7,0.908,0.000168,0.107,0.0415,0,161960,69,1964,6/1/1964,Under the Boardwalk
697,Chris Brown,"[266063, 303506]",0.762,0.5760000000000001,0.316,142.096,-4.9510000000000005,0,1,0.0556,0.0,0.0866,0.0829,1,221178,69,2017,10/31/2017,Party (feat. ***** & Gucci Mane)
699,Curtis Mayfield,[144458],0.5379999999999999,0.969,0.928,138.65200000000002,-5.626,0,11,0.417,0.00154,0.119,0.0906,0,165790,69,1970,1970,Move on Up
709,TLC,[7689],0.607,0.784,0.482,81.00399999999998,-6.292999999999998,1,7,0.433,0.0,0.6890000000000001,0.268,1,278573,69,2013,6/14/2013,Crooked Smile (feat. TLC)
721,Mavis Staples,[397876],0.468,0.763,0.223,101.096,-6.8260000000000005,0,9,0.29100000000000004,1.22e-06,0.204,0.268,1,217240,69,2020,6/3/2020,pulling the pin (feat. Mavis Staples & Josh Homme)
723,The Weeknd,[2674162],0.624,0.424,0.584,76.671,-8.237,1,1,0.28600000000000003,0.0,0.173,0.24,0,206013,69,2016,11/25/2016,True Colors
757,The Weeknd,[2674162],0.418,0.546,0.294,160.15200000000004,-9.057,0,0,0.227,0.0,0.229,0.238,1,208813,69,2011,11/15/2011,Crew Love
762,Marvin Gaye,[316834],0.265,0.8240000000000001,0.8109999999999999,203.206,-5.654,0,1,0.0991,0.0,0.359,0.0991,0,232600,69,1971,5/21/1971,What's Going On
780,Marvin Gaye,[316834],0.539,0.599,0.636,167.7,-10.638,1,3,0.0375,0.0,0.0754,0.0483,0,290933,68,1973,8/28/1973,Let's Get It On
787,Chris Brown,[266063],0.614,0.685,0.61,94.9,-3.684,1,10,0.0133,0.0,0.313,0.147,1,255102,68,2019,5/17/2019,Jealous (feat. Chris ****** Lil Wayne & Big Sean)
792,The Temptations,[569685],0.8170000000000001,0.405,0.898,121.467,-13.513,0,10,0.451,0.0507,0.0468,0.0811,0,419640,68,2000,1/11/2000,Papa Was A Rollin' Stone - Single Version
816,Nate Dogg,[373592],0.918,0.586,0.779,95.517,-2.89,1,1,0.0783,0.0,0.145,0.133,1,288200,68,2000,5/23/2000,**** Please II
822,Whitney Houston,[820434],0.77,0.475,0.474,82.51100000000002,-9.512,1,7,0.0557,4.81e-06,0.0607,0.159,0,261573,68,1998,11/17/1998,My Love Is Your Love
845,The Weeknd,[2674162],0.738,0.885,0.752,112.878,-5.5470000000000015,0,9,0.0133,0.0,0.0821,0.206,1,232880,68,2016,11/25/2016,Rockin鈥?
858,Sam Cooke,[238115],0.212,0.383,0.452,173.79,-10.071,1,10,0.723,0.0,0.299,0.0347,0,191160,68,1964,3/1/1964,A Change Is Gonna Come
859,Ne-Yo,[846634],0.6729999999999999,0.6829999999999999,0.713,171.86,-5.693,1,1,0.522,0.0,0.235,0.115,0,232000,68,2008,1/1/2008,Miss Independent
877,The Weeknd,[2674162],0.738,0.885,0.752,112.878,-5.5470000000000015,0,9,0.0133,0.0,0.0821,0.206,1,232880,68,2016,11/25/2016,Rockin鈥?
905,Chris Brown,[266063],0.82,0.696,0.617,144.981,-4.918,0,7,0.119,0.0,0.232,0.182,1,293435,67,2017,10/31/2017,"Pills & *********** (feat. Yo Gotti, A Boogie Wit Da Hoodie & Kodak Black)"
916,Mary Wells,[384675],0.691,0.581,0.91,126.615,-7.85,1,10,0.557,4.620000000000001e-05,0.147,0.065,0,174440,67,1964,1964,My Guy
931,Whitney Houston,"[820434, 262255]",0.436,0.39,0.119,125.313,-9.62,0,1,0.557,0.0,0.12,0.0326,0,272893,67,1998,11/17/1998,When You Believe (with Mariah Carey)
932,Percy Sledge,[838195],0.516,0.15,0.206,97.398,-20.41,1,1,0.13,0.0755,0.122,0.0272,0,173867,67,1966,1966,When a Man Loves a Woman
961,The Jackson 5,[83013],0.51,0.515,0.331,93.212,-7.247000000000001,1,5,0.593,1.24e-06,0.654,0.0253,0,237760,67,1970,9/8/1970,I'll Be There
969,Chris Brown,[266063],0.407,0.612,0.488,96.943,-4.387,0,5,0.292,0.0,0.198,0.129,1,185000,67,2019,6/28/2019,Undecided
971,John Legend,[814387],0.488,0.762,0.7090000000000001,123.889,-3.842,1,8,0.591,0.0,0.0763,0.0865,0,210293,67,2016,12/2/2016,Love Me Now
972,The Weeknd,[2674162],0.518,0.727,0.342,170.96200000000005,-5.947,1,1,0.00153,0.000152,0.0882,0.0557,0,200046,67,2020,4/3/2020,Blinding Lights
974,Ray Charles,[46861],0.556,0.61,0.665,199.373,-4.729,1,9,0.833,2.22e-06,0.258,0.213,0,171467,67,1957,1/1/1957,I've Got a Woman
992,Akon,[933458],0.866,0.454,0.368,99.985,-9.383,1,0,0.0373,1.49e-06,0.275,0.0414,1,247067,67,2006,2006,I Wanna Love You
993,Michael Jackson,[467203],0.518,0.9,0.872,115.029,-3.748,1,9,0.172,0.0315,0.0713,0.0933,0,254933,67,1991,11/13/1991,Black or White
994,Kelly Rowland,[73682],0.857,0.69,0.799,121.09,-4.474,1,6,0.0415,0.0,0.0942,0.0437,0,130686,67,2020,4/17/2020,******
997,Miguel,"[2570457, 2014409]",0.529,0.894,0.5429999999999999,108.024,-3.599,1,2,0.308,5.38e-06,0.254,0.0412,0,253347,67,2016,2/26/2016,waves - Tame Impala Remix
1008,Frank Ocean,[2592086],0.7390000000000001,0.419,0.58,60.493,-8.241,0,3,0.219,0.0,0.196,0.0854,1,304760,67,2012,7/10/2012,Super Rich Kids
1010,112,"[1055285, 164053]",0.833,0.619,0.901,109.92,-5.595,1,7,0.111,2.13e-05,0.159,0.0538,0,306560,67,1997,1997,I'll Be Missing You (feat. Faith Evans & **** - **** Remaster
1014,The Jackson 5,[83013],0.51,0.515,0.331,93.212,-7.247000000000001,1,5,0.593,1.24e-06,0.654,0.0253,0,237760,67,1970,9/8/1970,I'll Be There
1018,The Weeknd,[2674162],0.853,0.6629999999999999,0.8640000000000001,113.998,-6.955,0,7,0.0431,8.71e-06,0.0891,0.0755,0,220173,67,2016,11/25/2016,A Lonely *****
1019,Amy Winehouse,[627026],0.643,0.871,0.452,121.569,-2.734,0,1,0.491,0.0,0.29,0.118,1,185187,67,2006,10/27/2006,Tears Dry On Their Own
1020,Chris Brown,[266063],0.7959999999999999,0.5489999999999999,0.403,95.942,-6.6770000000000005,0,6,0.25,0.0,0.0991,0.102,1,215843,67,2020,3/27/2020,Finally (feat. Chris ******
1023,Ty Dolla $ign,[2659130],0.485,0.4920000000000001,0.8759999999999999,78.001,-6.4620000000000015,0,5,0.425,0.0,0.105,0.331,0,243787,67,2020,5/14/2020,All I Need (with Mahalia & Ty Dolla $ign)
1029,Ty Dolla $ign,[2659130],0.35600000000000004,0.6609999999999999,0.551,99.951,-9.818,1,11,0.129,0.0,0.114,0.0633,0,193187,67,2019,12/6/2019,Do You Mean
1031,The Weeknd,[2674162],0.586,0.525,0.508,133.629,-7.1629999999999985,0,1,0.111,0.0,0.134,0.0615,0,260253,66,2016,11/24/2016,Die For You
1042,Tevin Campbell,[30928],0.6579999999999999,0.711,0.614,172.365,-7.423999999999999,0,2,0.0759,1.77e-05,0.0446,0.0425,0,284587,66,2001,2001,Can We Talk
1088,Donna Summer,[661524],0.7959999999999999,0.892,0.965,120.4,-8.31,1,0,0.00475,0.0187,0.0717,0.0333,0,407053,66,1979,4/25/1979,Hot Stuff - *** Version
1089,Trey Songz,[128143],0.768,0.62,0.589,132.035,-7.399,1,2,0.139,0.0,0.521,0.0658,0,225960,66,2011,9/27/2011,Can't Get Enough
1095,Whitney Houston,[820434],0.502,0.305,0.248,131.24200000000002,-16.011,1,9,0.484,3.55e-06,0.117,0.0339,0,291400,66,1985,2/14/1985,Greatest Love of All
1097,Chris Brown,[266063],0.743,0.8759999999999999,0.574,149.041,-4.3260000000000005,1,1,0.099,0.0,0.119,0.301,1,224735,66,2018,5/2/2018,I Don't Die
1121,The Weeknd,[2674162],0.667,0.72,0.705,100.021,-5.349,0,7,0.00255,7.890000000000001e-05,0.0753,0.0331,1,237522,66,2020,4/3/2020,In Your Eyes
1137,Ty Dolla $ign,"[2659130, 939187]",0.561,0.604,0.703,106.735,-6.234,1,8,0.14800000000000002,0.0,0.737,0.254,1,246045,66,2020,4/10/2020,Dangerous City (feat. Buju Banton)
1139,Keri Hilson,[664272],0.6659999999999999,0.87,0.9,160.014,-5.004,0,11,0.203,0.0,0.0851,0.246,0,243920,66,2010,1/1/2010,Pretty **** Rock
1141,Natalie Cole,[74195],0.596,0.546,0.255,131.123,-6.251,1,2,0.633,0.00381,0.0707,0.0267,0,234280,66,1989,1989,Miss You Like Crazy
1150,Akon,[933458],0.84,0.5710000000000001,0.617,116.59,-7.421,1,10,0.16,0.0,0.406,0.0797,1,188493,66,2007,8/6/2007,Hypnotized (feat. Akon)
1155,The Supremes,[477875],0.612,0.444,0.503,114.961,-12.752,1,0,0.531,0.0,0.126,0.0293,0,172907,66,1965,7/23/1965,Stop! In The Name Of Love - Single Version
1156,Sam & Dave,[282709],0.8029999999999999,0.338,0.912,106.841,-14.029000000000002,1,6,0.196,0.038,0.097,0.0349,0,155707,66,1966,1966,"Hold On, I'm Comin'"
1161,Usher,[303506],0.616,0.862,0.569,127.992,-5.18,0,7,0.00117,0.0,0.179,0.0973,0,234693,66,2012,6/12/2012,Scream
1172,The Weeknd,[2674162],0.586,0.525,0.508,133.629,-7.1629999999999985,0,1,0.111,0.0,0.134,0.0615,0,260253,66,2016,11/24/2016,Die For You
1190,The Weeknd,[2674162],0.537,0.5870000000000001,0.365,149.748,-7.4860000000000015,0,7,0.0275,0.0,0.0961,0.0771,0,221920,66,2016,11/25/2016,Ordinary Life
1191,Chris Brown,[266063],0.81,0.625,0.598,100.019,-3.593,0,11,0.0407,1.53e-06,0.118,0.071,1,137448,66,2019,4/25/2019,Light It Up (with Tyga & Chris ******
1207,Natalie Cole,[74195],0.682,0.605,0.914,125.96,-10.771,1,8,0.185,0.0032600000000000003,0.0469,0.0403,0,171360,65,2003,1/1/2003,This Will Be (An Everlasting Love)
1229,Pharrell Williams,[275757],0.893,0.74,0.963,101.025,-4.936,0,11,0.299,0.0,0.0881,0.132,1,299147,65,2005,1/1/2005,Beautiful
1236,Sharon Jones & the Dap-Kings,[8125],0.674,0.909,0.969,103.942,-3.369,0,10,0.469,0.0131,0.105,0.0464,0,243760,65,2005,1/25/2005,How Long Do I Have to Wait for You?
1237,The Weeknd,[2674162],0.64,0.8690000000000001,0.185,119.949,-5.1789999999999985,0,4,0.0514,0.000121,0.691,0.124,1,239980,65,2020,4/3/2020,Too Late
1240,The Weeknd,[2674162],0.657,0.405,0.0673,133.895,-8.637,0,0,0.525,0.07200000000000001,0.146,0.0584,0,196360,65,2012,1/1/2012,What You Need
1244,The Temptations,[569685],0.618,0.7040000000000001,0.741,124.218,-4.686,1,4,0.159,0.000262,0.358,0.0321,0,165744,65,1964,1964,The Way You Do The Things You Do
1251,Janet Jackson,[208774],0.703,0.7,0.5820000000000001,97.675,-6.789,1,5,0.302,0.471,0.0718,0.0693,0,265107,65,1993,5/18/1993,That's The Way Love Goes
1262,Michael Jackson,[467203],0.624,0.512,0.685,93.059,-10.041,1,2,0.541,0.00478,0.26,0.0297,0,245560,65,1982,11/30/1982,Human Nature
1267,Jamiroquai,[176358],0.633,0.921,0.925,119.865,-7.7189999999999985,0,11,0.0261,0.00102,0.309,0.0495,0,244147,65,1996,9/9/1996,Cosmic **** - Remastered
1269,The Weeknd,[2674162],0.355,0.605,0.123,175.472,-7.34,0,0,0.614,0.0483,0.146,0.0774,1,283217,65,2020,4/3/2020,Faith
1275,Omarion,"[468938, 258000]",0.768,0.705,0.768,140.037,-5.053,1,0,0.0696,0.0,0.199,0.0796,0,168107,65,2020,2/21/2020,Can You Hear Me? (feat. T-Pain)
1276,T-Pain,"[258000, 266063]",0.583,0.7120000000000001,0.69,159.901,-6.6179999999999986,1,7,0.0452,0.0,0.174,0.054000000000000006,0,195987,65,2011,12/2/2011,Best Love Song (feat. Chris ******
1283,Kelly Rowland,[73682],0.735,0.679,0.264,140.858,-5.587999999999999,0,9,0.18,0.000198,0.0766,0.0431,0,231173,65,2011,1/1/2011,Motivation
1288,The Weeknd,"[2674162, 3314964]",0.523,0.491,0.408,80.156,-9.876,0,7,0.123,0.0,0.331,0.0491,1,234400,65,2015,4/7/2015,Often - Kygo Remix
1293,Ashanti,[933898],0.764,0.648,0.391,90.1,-6.6389999999999985,1,1,0.0563,0.0,0.414,0.206,1,278720,65,2002,1/1/2002,Mesmerize
1300,Pharrell Williams,[275757],0.894,0.404,0.759,102.009,-5.9129999999999985,0,9,0.453,1.57e-06,0.0801,0.13,1,236507,65,2003,8/19/2003,Frontin' (feat. Jay-Z) - **** Mix
1316,The Weeknd,[2674162],0.467,0.417,0.171,120.021,-10.614,0,8,0.421,0.000202,0.102,0.07400000000000001,1,321027,65,2016,11/25/2016,All I Know
1322,Tina Turner,[597309],0.855,0.48,0.7979999999999999,97.793,-8.902000000000003,1,1,0.254,2.1600000000000007e-05,0.151,0.0588,0,230240,65,1984,5/29/1984,What's Love Got to Do with It - **** Remaster
1327,Donna Summer,[661524],0.823,0.743,0.966,120.471,-13.98,1,0,0.00559,0.0306,0.0707,0.0316,0,314760,65,1979,4/25/1979,Hot Stuff
1338,Usher,[303506],0.66,0.7070000000000001,0.7609999999999999,89.279,-5.757999999999999,1,6,0.397,0.0,0.211,0.208,0,268800,65,2005,10/4/2005,I Need a **** (Pt. ** [feat. ***** & Loon]
1342,The Isley Brothers,[766893],0.632,0.59,0.953,130.287,-10.206,1,5,0.34600000000000003,0.0,0.24,0.0305,0,172733,65,1966,1966,This Old Heart Of Mine (Is Weak For You)
1348,Chris Brown,[266063],0.741,0.58,0.428,97.092,-7.741,1,0,0.153,0.0,0.109,0.378,1,220964,65,2017,10/31/2017,Privacy
1351,Bell Biv DeVoe,[127063],0.84,0.56,0.775,111.815,-10.53,0,6,0.00195,0.00417,0.633,0.21,0,261853,65,1990,1/1/1990,Poison
