,influencer_id,influencer_name,influencer_main_genre,influencer_active_start
346,136871,The Doobie Brothers,Pop/Rock,1970
347,277351,Loggins & Messina,Pop/Rock,1970
348,481461,Orleans,Pop/Rock,1970
349,674662,Manfred Mann,Pop/Rock,1960
350,685647,Yes,Pop/Rock,1960
352,796734,Elton John,Pop/Rock,1960
383,36537,Steve Howe,Pop/Rock,1960
384,89021,Jimmy Page,Pop/Rock,1950
388,209142,George Harrison,Pop/Rock,1950
390,307135,Rick Nielsen,Pop/Rock,1970
392,496405,The Shadows,Pop/Rock,1950
394,805785,Joe Satriani,Pop/Rock,1970
396,842351,Pete Townshend,Pop/Rock,1960
398,152312,Jack Bruce,Pop/Rock,1960
428,55128,Bo Diddley,Pop/Rock,1940
429,58616,The Champs,Pop/Rock,1950
433,773642,The Kingsmen,Pop/Rock,1950
435,50251,Blind Melon,Pop/Rock,1990
436,88180,Kid Rock,Pop/Rock,1980
449,798606,Fugazi,Pop/Rock,1980
459,139908,The Cult,Pop/Rock,1980
464,418740,Sex Pistols,Pop/Rock,1970
471,671953,Heart,Pop/Rock,1970
474,891063,Misfits,Pop/Rock,1970
493,817011,Was (Not Was),Pop/Rock,1980
496,59293,The Mamas & the Papas,Pop/Rock,1960
499,575051,Herman's Hermits,Pop/Rock,1960
500,65590,The Flaming Lips,Pop/Rock,1980
503,189678,Galaxie 500,Pop/Rock,1980
504,325459,R.E.M.,Pop/Rock,1980
507,422405,The Replacements,Pop/Rock,1970
508,545726,Guided by Voices,Pop/Rock,1980
510,621944,The Boo Radleys,Pop/Rock,1980
511,752314,Pavement,Pop/Rock,1980
513,780625,Cracker,Pop/Rock,1990
517,922911,Mojave 3,Pop/Rock,1990
518,39013,Alkaline Trio,Pop/Rock,1990
519,305363,Saves the Day,Pop/Rock,1990
520,563834,Dag Nasty,Pop/Rock,1980
522,690456,Youth of Today,Pop/Rock,1990
523,781766,Cro-Mags,Pop/Rock,1990
524,808944,Jawbreaker,Pop/Rock,1980
525,855836,The Promise Ring,Pop/Rock,1990
526,178906,Jawbox,Pop/Rock,1980
527,219203,U2,Pop/Rock,1970
531,803026,Government Issue,Pop/Rock,1980
535,11754,Sheena Easton,Pop/Rock,1980
536,22257,Patty Smyth,Pop/Rock,1980
540,159433,Take That,Pop/Rock,1990
544,228099,Howard Jones,Pop/Rock,1980
545,235923,Leif Garrett,Pop/Rock,1960
547,246960,Wham!,Pop/Rock,1980
548,290590,Samantha Fox,Pop/Rock,1980
550,354722,Rick Astley,Pop/Rock,1980
551,390477,New Kids on the Block,Pop/Rock,1980
553,484145,The Partridge Family,Pop/Rock,1960
554,495338,Ace of Base,Pop/Rock,1990
555,545074,George Michael,Pop/Rock,1980
557,776093,Kylie Minogue,Pop/Rock,1980
565,253142,Scott Walker,Pop/Rock,1950
569,590441,Young Marble Giants,Pop/Rock,1980
576,270491,Joni Mitchell,Pop/Rock,1960
583,834108,Sarah McLachlan,Pop/Rock,1980
586,167320,Fear Factory,Pop/Rock,1980
587,178122,Filter,Pop/Rock,1990
588,420133,Ministry,Pop/Rock,1980
590,820115,White Zombie,Pop/Rock,1980
593,393345,Oasis,Pop/Rock,1990
594,564333,The Stone Roses,Pop/Rock,1980
606,7731,Papa Roach,Pop/Rock,1990
607,7920,Alice in Chains,Pop/Rock,1980
611,543595,Candlebox,Pop/Rock,1990
613,750742,Slipknot,Pop/Rock,1990
614,782768,Creed,Pop/Rock,1990
615,813946,Deftones,Pop/Rock,1980
620,12472,Traffic,Pop/Rock,1960
622,20050,Ten Years After,Pop/Rock,1960
623,36106,Steve Miller Band,Pop/Rock,1960
624,38490,The Band,Pop/Rock,1960
626,77175,Bob Weir,Pop/Rock,1960
630,178536,Edgar Winter,Pop/Rock,1970
632,265440,Jorma Kaukonen,Pop/Rock,1960
633,307461,Van Morrison,Pop/Rock,1950
634,313284,Little Feat,Pop/Rock,1960
635,317417,Quicksilver Messenger Service,Pop/Rock,1960
636,745964,The Allman Brothers Band,Pop/Rock,1960
640,127337,Be Bop Deluxe,Pop/Rock,1970
641,183858,Gary Numan,Pop/Rock,1970
642,217622,Japan,Pop/Rock,1970
645,531986,David Bowie,Pop/Rock,1960
646,617196,Brian Eno,Pop/Rock,1970
647,645474,David Essex,Pop/Rock,1970
649,809266,Ultravox,Pop/Rock,1970
650,852855,Roxy Music,Pop/Rock,1970
651,62823,Bad Religion,Pop/Rock,1980
653,202545,Generation X,Pop/Rock,1970
654,385611,Redd Kross,Pop/Rock,1980
659,335,PJ Harvey,Pop/Rock,1990
660,158309,Pat Benatar,Pop/Rock,1970
661,225930,Liz Phair,Pop/Rock,1990
663,680476,Hole,Pop/Rock,1980
664,792530,Tori Amos,Pop/Rock,1980
680,740833,Grant Lee Buffalo,Pop/Rock,1990
683,205180,Dr. John,Pop/Rock,1950
689,625739,Stevie Ray Vaughan,Pop/Rock,1970
703,809058,Jay & the Americans,Pop/Rock,1960
708,325401,Petula Clark,Pop/Rock,1930
709,473554,Olivia Newton-John,Pop/Rock,1960
713,686897,Linda Ronstadt,Pop/Rock,1960
714,936190,Stevie Nicks,Pop/Rock,1960
717,175196,Carlos Santana,Pop/Rock,1960
750,493122,The Rascals,Pop/Rock,1960
751,543055,Georgie Fame,Pop/Rock,1950
753,631774,The Byrds,Pop/Rock,1960
754,751019,The Animals,Pop/Rock,1960
756,925181,Them,Pop/Rock,1960
763,152023,Everclear,Pop/Rock,1990
777,165663,Twisted Sister,Pop/Rock,1970
778,193320,Def Leppard,Pop/Rock,1970
781,299471,Scorpions,Pop/Rock,1960
786,745241,Status Quo,Pop/Rock,1960
788,897214,The Rutles,Pop/Rock,1970
791,34899,Soul Coughing,Pop/Rock,1990
792,51376,The Fall,Pop/Rock,1970
794,167287,Frank Black,Pop/Rock,1980
796,219483,Dinosaur Jr.,Pop/Rock,1980
797,290812,Joy Division,Pop/Rock,1970
798,364399,Public Image Ltd.,Pop/Rock,1970
803,842802,Peter Gabriel,Pop/Rock,1970
805,990384,Thee Oh Sees,Pop/Rock,2000
815,300245,Rick Wakeman,Pop/Rock,1960
823,70715,Bobby Darin,Pop/Rock,1950
825,144847,Eagles,Pop/Rock,1970
831,765722,The Collins Kids,Pop/Rock,1950
833,814606,Wanda Jackson,Pop/Rock,1950
837,31685,Paul Simon,Pop/Rock,1950
839,96613,Bonnie Raitt,Pop/Rock,1960
840,117490,Chris Smither,Pop/Rock,1970
844,147635,Carly Simon,Pop/Rock,1970
845,159214,Dusty Springfield,Pop/Rock,1950
846,166785,Dan Fogelberg,Pop/Rock,1960
847,174557,Carole King,Pop/Rock,1950
848,182900,Fleetwood Mac,Pop/Rock,1960
849,184091,Don Henley,Pop/Rock,1970
850,204386,James Taylor,Pop/Rock,1960
851,248798,Judee Sill,Pop/Rock,1970
856,359016,Richard Thompson,Pop/Rock,1960
857,359966,Rickie Lee Jones,Pop/Rock,1970
858,688400,Willis Alan Ramsey,Pop/Rock,1970
860,812046,John Hiatt,Pop/Rock,1970
861,816387,Leon Russell,Pop/Rock,1950
864,962339,Dave Mason,Pop/Rock,1960
875,15694,Teenage Fanclub,Pop/Rock,1980
876,29791,Paul Weller,Pop/Rock,1970
877,29884,Paul McCartney,Pop/Rock,1950
878,31556,Supergrass,Pop/Rock,1990
879,36521,Smashing Pumpkins,Pop/Rock,1980
882,79044,The Lightning Seeds,Pop/Rock,1980
883,112185,James,Pop/Rock,1980
885,145128,Echo & the Bunnymen,Pop/Rock,1970
886,212131,Ride,Pop/Rock,1980
888,240665,Jeff Buckley,Pop/Rock,1990
890,326249,Radiohead,Pop/Rock,1990
895,575522,The Verve,Pop/Rock,1990
899,793425,Feeder,Pop/Rock,1990
900,815537,Del Amitri,Pop/Rock,1980
903,954964,Manic Street Preachers,Pop/Rock,1990
907,10412,Spin Doctors,Pop/Rock,1980
908,21744,Stephen Stills,Pop/Rock,1960
911,103484,Indigo Girls,Pop/Rock,1980
919,848034,Jim Croce,Pop/Rock,1960
922,31274,Alan Parsons,Pop/Rock,1970
923,199995,Genesis,Pop/Rock,1960
924,253861,Jon Anderson,Pop/Rock,1960
926,404434,The Moody Blues,Pop/Rock,1960
928,798992,"Emerson, Lake & Palmer",Pop/Rock,1970
930,61480,The Guess Who,Pop/Rock,1960
931,131581,"Crosby, Stills & Nash",Pop/Rock,1960
932,162233,Fairport Convention,Pop/Rock,1960
957,5882,T. Rex,Pop/Rock,1960
958,44764,Blondie,Pop/Rock,1970
959,75747,The Clash,Pop/Rock,1970
967,79960,Boston,Pop/Rock,1970
973,203008,Rush,Pop/Rock,1960
975,303626,Kansas,Pop/Rock,1970
982,825924,Marillion,Pop/Rock,1970
983,887619,Renaissance,Pop/Rock,1960
985,128440,Duran Duran,Pop/Rock,1970
986,128495,Counting Crows,Pop/Rock,1990
991,758453,Blues Traveler,Pop/Rock,1980
992,891264,The Outlaws,Pop/Rock,1960
993,923033,Styx,Pop/Rock,1970
994,16281,Tracy Chapman,Pop/Rock,1980
995,58549,Elvis Costello,Pop/Rock,1970
1030,14073,Tab Hunter,Pop/Rock,1950
1032,16438,Television Personalities,Pop/Rock,1970
1036,64303,Badfinger,Pop/Rock,1960
1037,73421,The Clean,Pop/Rock,1970
1040,154530,Beat Happening,Pop/Rock,1980
1041,180263,Flamin' Groovies,Pop/Rock,1960
1044,314600,Love,Pop/Rock,1960
1046,343930,The Jesus and Mary Chain,Pop/Rock,1980
1048,475932,The Only Ones,Pop/Rock,1970
1049,478426,Orange Juice,Pop/Rock,1970
1050,485191,The Pastels,Pop/Rock,1980
1051,501692,1910 Fruitgum Company,Pop/Rock,1960
1052,569914,Moby Grape,Pop/Rock,1960
1055,684240,Wreckless Eric,Pop/Rock,1970
1058,764181,The Church,Pop/Rock,1980
1059,790732,Squeeze,Pop/Rock,1970
1060,866786,New York Dolls,Pop/Rock,1970
1061,939567,Buffalo Springfield,Pop/Rock,1960
1066,5441,Pantera,Pop/Rock,1980
1067,9441,Static-X,Pop/Rock,1990
1093,153590,Graham Nash,Pop/Rock,1960
1095,179205,Don McLean,Pop/Rock,1960
1097,232564,John Lennon,Pop/Rock,1950
1103,696015,Phoebe Snow,Pop/Rock,1970
1105,29067,The Action,Pop/Rock,1960
1110,423267,Small Faces,Pop/Rock,1960
1111,483587,The Move,Pop/Rock,1960
1113,582313,The Zombies,Pop/Rock,1960
1116,47033,The Blue Nile,Pop/Rock,1980
1117,129761,Jimmy Webb,Pop/Rock,1960
1118,301619,Portishead,Pop/Rock,1990
1119,334193,New Order,Pop/Rock,1980
1144,263937,Dio,Pop/Rock,1980
1145,540883,Guns N' Roses,Pop/Rock,1980
1148,817754,Ween,Pop/Rock,1980
1149,845775,Ronnie James Dio,Pop/Rock,1970
1150,864209,Neil Diamond,Pop/Rock,1950
1151,13387,Shawn Colvin,Pop/Rock,1970
1153,70027,The Innocence Mission,Pop/Rock,1980
1154,104455,The La's,Pop/Rock,1980
1155,120953,Cowboy Junkies,Pop/Rock,1980
1156,501081,"10,000 Maniacs",Pop/Rock,1980
1157,564726,The Sundays,Pop/Rock,1980
1158,784814,The Cranberries,Pop/Rock,1990
1162,418955,The Shangri-Las,Pop/Rock,1960
1163,491220,The Ronettes,Pop/Rock,1950
1209,213212,Janis Ian,Pop/Rock,1960
1224,671244,Witchfinder General,Pop/Rock,1980
1225,766533,Bolt Thrower,Pop/Rock,1980
1227,78886,The Housemartins,Pop/Rock,1980
1228,80720,The House of Love,Pop/Rock,1980
1229,137390,The Cure,Pop/Rock,1970
1230,260212,Pet Shop Boys,Pop/Rock,1980
1231,482677,The Lemonheads,Pop/Rock,1980
1233,567570,Thompson Twins,Pop/Rock,1970
1234,789340,Belly,Pop/Rock,1990
1235,831215,Saint Etienne,Pop/Rock,1990
1236,895443,The Human League,Pop/Rock,1970
1249,330575,Neil Sedaka,Pop/Rock,1950
1252,745915,Paul Anka,Pop/Rock,1950
1256,794449,Frankie Valli,Pop/Rock,1950
1288,87985,The Hollies,Pop/Rock,1960
1297,814852,John Sebastian,Pop/Rock,1960
1301,19701,Television,Pop/Rock,1970
1302,34988,Swans,Pop/Rock,1980
1303,44906,The Birthday Party,Pop/Rock,1980
1304,46527,Blonde Redhead,Pop/Rock,1990
1307,188190,Unwound,Pop/Rock,1990
1312,423305,Mission of Burma,Pop/Rock,1980
1316,633181,Butthole Surfers,Pop/Rock,1980
1317,751604,Slint,Pop/Rock,1990
1328,224638,John Cale,Pop/Rock,1960
1329,233066,Lou Reed,Pop/Rock,1950
1330,307025,Roky Erickson,Pop/Rock,1960
1335,504928,The 13th Floor Elevators,Pop/Rock,1960
1339,763301,The Fugs,Pop/Rock,1960
1344,781370,Chumbawamba,Pop/Rock,1980
1348,154998,Bauhaus,Pop/Rock,1970
1351,257544,Van der Graaf Generator,Pop/Rock,1960
1356,749734,Slade,Pop/Rock,1960
1361,855423,Kate Bush,Pop/Rock,1970
1405,120010,Jack Johnson,Pop/Rock,1990
1406,163420,G. Love & Special Sauce,Pop/Rock,1990
1407,206407,Descendents,Pop/Rock,1970
1408,475334,The Suicide Machines,Pop/Rock,1990
1409,479350,The Toasters,Pop/Rock,1980
1410,486047,Sublime,Pop/Rock,1980
1411,604075,Agent Orange,Pop/Rock,1980
1413,786613,Dead Kennedys,Pop/Rock,1970
1422,181376,UB40,Pop/Rock,1970
1433,80780,Sheryl Crow,Pop/Rock,1990
1439,174122,Lyle Lovett,Pop/Rock,1980
1441,177060,Janis Joplin,Pop/Rock,1960
1448,345355,Melissa Etheridge,Pop/Rock,1980
1455,852997,k.d. lang,Pop/Rock,1980
1459,69534,Bon Jovi,Pop/Rock,1980
1462,222436,David Lee Roth,Pop/Rock,1970
1463,251595,Whitesnake,Pop/Rock,1970
1466,297702,Sammy Hagar,Pop/Rock,1960
1471,520975,Tommy James & the Shondells,Pop/Rock,1960
1474,680522,Yaz,Pop/Rock,1980
1497,530745,Bruce Springsteen,Pop/Rock,1970
1508,7230,Brian May,Pop/Rock,1960
1515,252184,Johnny Thunders,Pop/Rock,1970
1519,467853,Mick Ronson,Pop/Rock,1960
1537,194703,The Flying Burrito Brothers,Pop/Rock,1960
1544,191063,Celtic Frost,Pop/Rock,1980
1546,308932,Pentagram,Pop/Rock,1970
1552,672011,Hawkwind,Pop/Rock,1960
1554,46794,Ani DiFranco,Pop/Rock,1980
1555,99246,Concrete Blonde,Pop/Rock,1980
1556,162197,Ben Folds,Pop/Rock,1990
1557,169795,Fiona Apple,Pop/Rock,1990
1561,377581,Mary Margaret O'Hara,Pop/Rock,1980
1564,570061,The Tragically Hip,Pop/Rock,1980
1565,615489,Bratmobile,Pop/Rock,1990
1569,925528,Throwing Muses,Pop/Rock,1980
1601,156043,Discharge,Pop/Rock,1970
1603,259800,Saxon,Pop/Rock,1970
1610,754879,Angel Witch,Pop/Rock,1980
1612,792925,Fear,Pop/Rock,1970
1631,631579,Bruce Cockburn,Pop/Rock,1970
1637,955544,Daniel Lanois,Pop/Rock,1970
1638,961234,Dave Matthews Band,Pop/Rock,1990
1639,103324,Kreator,Pop/Rock,1980
1640,151787,Bathory,Pop/Rock,1980
1651,567190,? & the Mysterians,Pop/Rock,1960
1652,573870,The Troggs,Pop/Rock,1960
1658,923618,The Standells,Pop/Rock,1960
1661,228323,Death,Pop/Rock,1980
1669,610706,Bread,Pop/Rock,1960
1676,502163,10cc,Pop/Rock,1970
1702,407986,Melissa Manchester,Pop/Rock,1970
1707,161351,Gov't Mule,Pop/Rock,1990
1708,268871,Hot Tuna,Pop/Rock,1970
1709,333464,Phish,Pop/Rock,1980
1719,193231,Gang of Four,Pop/Rock,1970
1721,413524,The Police,Pop/Rock,1970
1731,239921,Depeche Mode,Pop/Rock,1980
1732,332257,Neneh Cherry,Pop/Rock,1980
1735,482334,The Specials,Pop/Rock,1970
1737,748222,Siouxsie and the Banshees,Pop/Rock,1970
1744,793845,Falco,Pop/Rock,1980
1752,354158,Kaleidoscope,Pop/Rock,1960
1754,564239,The Turtles,Pop/Rock,1960
1756,678339,XTC,Pop/Rock,1970
1758,755494,Silver Apples,Pop/Rock,1960
1759,771010,The Left Banke,Pop/Rock,1960
1760,838241,Van Dyke Parks,Pop/Rock,1960
1761,840523,Sebadoh,Pop/Rock,1980
1762,937003,My Bloody Valentine,Pop/Rock,1980
1767,69060,Babes in Toyland,Pop/Rock,1980
1769,100473,L7,Pop/Rock,1980
1770,109414,Courtney Love,Pop/Rock,1980
1772,238297,Delta 5,Pop/Rock,1970
1778,498691,The Slits,Pop/Rock,1970
1779,585189,X-Ray Spex,Pop/Rock,1970
1784,762500,Bikini Kill,Pop/Rock,1990
1785,766361,The Go-Betweens,Pop/Rock,1980
1786,797431,Elastica,Pop/Rock,1990
1789,172167,Elliott Smith,Pop/Rock,1980
1790,174752,Eels,Pop/Rock,1990
1793,601430,Morphine,Pop/Rock,1990
1798,105354,Cheap Trick,Pop/Rock,1970
1811,500992,M??tley Cr??e,Pop/Rock,1980
1816,835585,Loverboy,Pop/Rock,1980
1817,859868,Quiet Riot,Pop/Rock,1970
1818,948171,Hanoi Rocks,Pop/Rock,1980
1822,198532,Doug Sahm,Pop/Rock,1960
1825,538677,Buddy Holly,Pop/Rock,1950
1830,814751,John Prine,Pop/Rock,1960
1836,57209,The Free Design,Pop/Rock,1960
1838,118327,Chrome,Pop/Rock,1970
1839,140499,Cocteau Twins,Pop/Rock,1970
1840,174822,Serge Gainsbourg,Pop/Rock,1950
1842,186594,Fran?§oise Hardy,Pop/Rock,1960
1843,241724,The Rockets,Pop/Rock,1970
1848,521704,Yoko Ono,Pop/Rock,1960
1851,635413,Cabaret Voltaire,Pop/Rock,1970
1853,645612,Can,Pop/Rock,1960
1856,753963,The Association,Pop/Rock,1960
1859,773392,China Crisis,Pop/Rock,1970
1861,799466,France Gall,Pop/Rock,1960
1865,936658,Brigitte Fontaine,Pop/Rock,1970
1869,72041,Bob Seger,Pop/Rock,1960
1870,123915,Christine McVie,Pop/Rock,1960
1873,208303,Jane Siberry,Pop/Rock,1980
1874,754251,Suzanne Vega,Pop/Rock,1980
1875,756180,Sin??ad O'Connor,Pop/Rock,1980
1900,769444,Bj??rk,Pop/Rock,1970
1915,242211,Saliva,Pop/Rock,1990
1916,323194,Jerry Cantrell,Pop/Rock,1980
1934,127360,Everything But the Girl,Pop/Rock,1980
1938,358820,Primal Scream,Pop/Rock,1980
1940,481057,Orchestral Manoeuvres in the Dark,Pop/Rock,1970
1949,203639,Johnny Rivers,Pop/Rock,1960
1957,29978,Sloan,Pop/Rock,1990
1975,70800,Billy Idol,Pop/Rock,1970
1976,154544,Green Day,Pop/Rock,1980
1977,195874,Madness,Pop/Rock,1970
1978,197921,The English Beat,Pop/Rock,1970
1980,768321,INXS,Pop/Rock,1970
1981,784732,Joe Jackson,Pop/Rock,1970
1988,29909,Terry Reid,Pop/Rock,1960
1989,45313,Steve Winwood,Pop/Rock,1960
1997,292915,Robert Wyatt,Pop/Rock,1960
1998,293896,Rod Stewart,Pop/Rock,1960
2005,505532,Tim Hardin,Pop/Rock,1960
2008,595101,Tim Buckley,Pop/Rock,1960
2011,794173,Frankie Miller,Pop/Rock,1970
2014,845625,Ronnie Lane,Pop/Rock,1960
2015,892823,Mick Jagger,Pop/Rock,1960
2017,956707,Wings,Pop/Rock,1970
